# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      2.36e+01    2.08e+01      2.64e-02    1.08e-01      7.46e-01    6.57e-01    1.0e-03
   1000      1.08e+01    1.84e+01      1.53e-01    1.55e-02      3.42e-01    5.82e-01    1.0e-03
   2000      1.26e+01    1.11e+01      2.36e-01    2.57e-03      4.00e-01    3.51e-01    1.0e-03
   3000      9.48e+00    8.15e+00      6.57e-02    2.10e-03      3.00e-01    2.58e-01    1.0e-03
   4000      6.90e+00    9.68e+00      2.49e-02    5.54e-02      2.18e-01    3.06e-01    1.0e-03
   5000      5.82e+00    9.35e+00      4.96e-02    8.46e-02      1.84e-01    2.96e-01    1.0e-03
   6000      7.26e+00    6.58e+00      1.68e-02    3.19e-03      2.35e-01    2.13e-01    9.5e-04
   7000      6.61e+00    5.10e+00      8.35e-03    1.29e-02      2.15e-01    1.65e-01    9.5e-04
   8000      8.23e+00    7.73e+00      8.16e-03    4.50e-02      2.67e-01    2.51e-01    9.5e-04
   9000      6.94e+00    4.99e+00      1.68e-01    8.24e-02      2.25e-01    1.62e-01    9.5e-04
  10000      3.82e+00    4.80e+00      1.63e-02    1.40e-03      1.24e-01    1.56e-01    9.5e-04
  11000      4.18e+00    4.58e+00      9.83e-03    9.86e-03      1.39e-01    1.52e-01    9.0e-04
  12000      6.01e+00    6.26e+00      4.63e-02    4.29e-02      2.00e-01    2.08e-01    9.0e-04
  13000      5.51e+00    4.21e+00      9.09e-03    4.93e-02      1.83e-01    1.40e-01    9.0e-04
  14000      6.03e+00    6.29e+00      2.54e-03    4.45e-02      2.01e-01    2.09e-01    9.0e-04
  15000      4.69e+00    4.81e+00      7.00e-03    1.38e-02      1.56e-01    1.60e-01    9.0e-04
  16000      4.33e+00    5.68e+00      3.70e-02    3.51e-02      1.48e-01    1.94e-01    8.6e-04
  17000      5.69e+00    5.09e+00      3.33e-02    3.14e-02      1.94e-01    1.74e-01    8.6e-04
  18000      4.28e+00    3.35e+00      1.21e-02    1.69e-02      1.46e-01    1.14e-01    8.6e-04
  19000      6.07e+00    3.77e+00      1.48e-01    4.74e-03      2.07e-01    1.29e-01    8.6e-04
  20000      4.48e+00    5.85e+00      4.76e-02    1.52e-02      1.53e-01    2.00e-01    8.6e-04
  21000      3.52e+00    3.89e+00      2.24e-02    8.28e-03      1.23e-01    1.36e-01    8.1e-04
  22000      3.87e+00    4.15e+00      2.45e-02    7.25e-02      1.36e-01    1.45e-01    8.1e-04
  23000      4.85e+00    4.58e+00      9.89e-02    7.84e-03      1.70e-01    1.60e-01    8.1e-04
  24000      5.03e+00    4.64e+00      1.46e-02    6.70e-03      1.76e-01    1.62e-01    8.1e-04
  25000      5.29e+00    4.63e+00      1.10e-02    3.74e-02      1.85e-01    1.62e-01    8.1e-04
  26000      5.25e+00    4.34e+00      1.21e-01    1.14e-02      1.88e-01    1.56e-01    7.7e-04
  27000      3.53e+00    3.77e+00      1.59e-02    5.79e-02      1.27e-01    1.35e-01    7.7e-04
  28000      4.69e+00    3.65e+00      2.53e-02    3.43e-02      1.69e-01    1.31e-01    7.7e-04
  29000      4.18e+00    3.57e+00      3.77e-02    1.18e-03      1.50e-01    1.28e-01    7.7e-04
  30000      4.51e+00    3.08e+00      3.48e-02    7.32e-02      1.62e-01    1.11e-01    7.7e-04
  31000      3.33e+00    3.93e+00      5.85e-02    3.40e-02      1.23e-01    1.45e-01    7.4e-04
  32000      4.10e+00    3.98e+00      3.14e-02    3.83e-02      1.51e-01    1.47e-01    7.4e-04
  33000      3.20e+00    3.21e+00      3.54e-02    2.67e-02      1.18e-01    1.18e-01    7.4e-04
  34000      4.42e+00    4.04e+00      2.81e-02    2.47e-03      1.63e-01    1.49e-01    7.4e-04
  35000      3.48e+00    5.81e+00      3.03e-02    9.61e-03      1.28e-01    2.14e-01    7.4e-04
  36000      3.54e+00    3.12e+00      6.53e-02    9.80e-03      1.34e-01    1.18e-01    7.0e-04
  37000      3.19e+00    3.88e+00      3.33e-02    9.80e-03      1.21e-01    1.47e-01    7.0e-04
  38000      3.80e+00    3.35e+00      1.10e-02    2.65e-02      1.44e-01    1.27e-01    7.0e-04
  39000      2.76e+00    2.17e+00      6.17e-02    4.47e-02      1.04e-01    8.19e-02    7.0e-04
  40000      3.64e+00    4.06e+00      5.31e-03    6.61e-02      1.38e-01    1.53e-01    7.0e-04
  41000      2.64e+00    4.13e+00      3.55e-02    3.45e-02      1.03e-01    1.60e-01    6.6e-04
  42000      2.28e+00    3.03e+00      1.53e-02    1.80e-02      8.86e-02    1.17e-01    6.6e-04
  43000      2.58e+00    3.61e+00      6.23e-02    1.19e-02      9.98e-02    1.40e-01    6.6e-04
  44000      3.05e+00    3.90e+00      1.87e-02    1.91e-03      1.18e-01    1.52e-01    6.6e-04
  45000      3.00e+00    2.26e+00      4.87e-02    1.84e-02      1.16e-01    8.76e-02    6.6e-04
  46000      2.95e+00    3.33e+00      1.45e-02    8.77e-03      1.17e-01    1.33e-01    6.3e-04
  47000      3.13e+00    2.37e+00      2.34e-02    4.15e-02      1.24e-01    9.43e-02    6.3e-04
  48000      2.97e+00    3.04e+00      1.72e-03    6.77e-03      1.18e-01    1.21e-01    6.3e-04
  49000      2.96e+00    2.73e+00      8.86e-04    1.41e-02      1.18e-01    1.09e-01    6.3e-04
  50000      2.58e+00    2.72e+00      4.68e-02    5.33e-02      1.02e-01    1.08e-01    6.3e-04
  51000      3.66e+00    2.66e+00      3.22e-02    5.56e-02      1.49e-01    1.09e-01    6.0e-04
  52000      2.10e+00    2.23e+00      5.01e-03    8.83e-03      8.60e-02    9.10e-02    6.0e-04
  53000      3.17e+00    2.74e+00      2.92e-02    1.97e-02      1.29e-01    1.12e-01    6.0e-04
  54000      2.59e+00    3.39e+00      2.90e-02    6.35e-03      1.06e-01    1.39e-01    6.0e-04
